support_agent_id,agent_name,role
1,Harper,Account Recovery Agent
2,Drew,Network Support Engineer
3,Avery,Network Support Engineer
4,Avery,Billing Support Representative
5,Jordan,Language Localization Support
6,Taylor,Network Support Engineer
7,Reese,Content Delivery Technician
8,Drew,User Experience Troubleshooter
9,Parker,Device Compatibility Expert
10,Parker,Account Recovery Agent
11,Morgan,Language Localization Support
12,Morgan,Technical Support Specialist
13,Jordan,User Experience Troubleshooter
14,Morgan,Content Delivery Technician
15,Quinn,Device Compatibility Expert
16,Riley,Network Support Engineer
17,Casey,Subscription Support Agent
18,Skyler,Technical Support Specialist
19,Drew,Content Delivery Technician
20,Jordan,Account Recovery Agent
21,Avery,Technical Support Specialist
22,Alex,Technical Support Specialist
23,Avery,Billing Support Representative
24,Alex,Network Support Engineer
25,Parker,Subscription Support Agent
26,Parker,Technical Support Specialist
27,Reese,Device Compatibility Expert
28,Morgan,User Experience Troubleshooter
29,Cameron,Network Support Engineer
30,Avery,Technical Support Specialist
31,Avery,Device Compatibility Expert
32,Parker,Billing Support Representative
33,Reese,Account Recovery Agent
34,Taylor,Language Localization Support
35,Harper,Account Recovery Agent
36,Drew,Network Support Engineer
37,Drew,Language Localization Support
38,Quinn,Billing Support Representative
39,Parker,Account Recovery Agent
40,Morgan,Streaming Quality Analyst
41,Riley,Device Compatibility Expert
42,Quinn,Streaming Quality Analyst
43,Casey,Device Compatibility Expert
44,Casey,Streaming Quality Analyst
45,Riley,Billing Support Representative
46,Taylor,User Experience Troubleshooter
47,Parker,Account Recovery Agent
48,Parker,Device Compatibility Expert
49,Jamie,Language Localization Support
50,Casey,User Experience Troubleshooter
51,Alex,Technical Support Specialist
52,Alex,Technical Support Specialist
53,Drew,Account Recovery Agent
54,Drew,Streaming Quality Analyst
55,Riley,Streaming Quality Analyst
56,Harper,Subscription Support Agent
57,Cameron,Language Localization Support
58,Taylor,Account Recovery Agent
59,Quinn,Account Recovery Agent
60,Harper,User Experience Troubleshooter
61,Harper,Billing Support Representative
62,Harper,Billing Support Representative
63,Avery,Technical Support Specialist
64,Morgan,Device Compatibility Expert
65,Skyler,Subscription Support Agent
66,Reese,Content Delivery Technician
67,Drew,Billing Support Representative
68,Taylor,Language Localization Support
69,Harper,Account Recovery Agent
70,Jamie,Language Localization Support
71,Taylor,Account Recovery Agent
72,Taylor,Billing Support Representative
73,Reese,Account Recovery Agent
74,Jordan,Account Recovery Agent
75,Casey,Language Localization Support
76,Riley,Billing Support Representative
77,Reese,Technical Support Specialist
78,Parker,Streaming Quality Analyst
79,Skyler,User Experience Troubleshooter
80,Jordan,Device Compatibility Expert
81,Taylor,Billing Support Representative
82,Reese,Billing Support Representative
83,Reese,Account Recovery Agent
84,Taylor,Technical Support Specialist
85,Riley,Language Localization Support
86,Riley,Billing Support Representative
87,Jamie,Network Support Engineer
88,Morgan,Language Localization Support
89,Taylor,Subscription Support Agent
90,Parker,Language Localization Support
91,Morgan,Network Support Engineer
92,Drew,Device Compatibility Expert
93,Avery,Billing Support Representative
94,Jordan,Network Support Engineer
95,Parker,Language Localization Support
96,Jordan,Billing Support Representative
97,Avery,Device Compatibility Expert
98,Skyler,Device Compatibility Expert
99,Parker,Account Recovery Agent
100,Jamie,Language Localization Support
101,Harper,Streaming Quality Analyst
102,Cameron,User Experience Troubleshooter
103,Riley,Content Delivery Technician
104,Taylor,Technical Support Specialist
105,Alex,Billing Support Representative
106,Harper,Language Localization Support
107,Parker,Technical Support Specialist
108,Drew,Device Compatibility Expert
109,Reese,Billing Support Representative
110,Avery,Device Compatibility Expert
111,Cameron,Billing Support Representative
112,Reese,Device Compatibility Expert
113,Riley,Subscription Support Agent
114,Casey,Technical Support Specialist
115,Riley,Technical Support Specialist
116,Quinn,Technical Support Specialist
117,Avery,Network Support Engineer
118,Avery,Language Localization Support
119,Skyler,Streaming Quality Analyst
120,Riley,Technical Support Specialist
121,Cameron,Billing Support Representative
122,Skyler,Language Localization Support
123,Cameron,Language Localization Support
124,Jamie,Technical Support Specialist
125,Riley,Device Compatibility Expert
126,Cameron,Subscription Support Agent
127,Jamie,User Experience Troubleshooter
128,Skyler,Streaming Quality Analyst
129,Reese,Billing Support Representative
130,Casey,Subscription Support Agent
131,Quinn,Device Compatibility Expert
132,Jordan,User Experience Troubleshooter
133,Harper,Content Delivery Technician
134,Parker,User Experience Troubleshooter
135,Reese,Subscription Support Agent
136,Parker,Device Compatibility Expert
137,Morgan,Subscription Support Agent
138,Harper,Device Compatibility Expert
139,Morgan,Billing Support Representative
140,Morgan,User Experience Troubleshooter
141,Casey,Account Recovery Agent
142,Reese,Device Compatibility Expert
143,Taylor,Technical Support Specialist
144,Harper,Language Localization Support
145,Taylor,Language Localization Support
146,Quinn,Account Recovery Agent
147,Drew,Subscription Support Agent
148,Taylor,Device Compatibility Expert
149,Harper,Technical Support Specialist
150,Avery,Subscription Support Agent
151,Avery,Streaming Quality Analyst
152,Morgan,Device Compatibility Expert
153,Parker,User Experience Troubleshooter
154,Cameron,Device Compatibility Expert
155,Riley,Subscription Support Agent
156,Jamie,Streaming Quality Analyst
157,Harper,User Experience Troubleshooter
158,Jordan,Device Compatibility Expert
159,Harper,Billing Support Representative
160,Parker,Network Support Engineer
161,Quinn,User Experience Troubleshooter
162,Quinn,Technical Support Specialist
163,Avery,Content Delivery Technician
164,Parker,Streaming Quality Analyst
165,Alex,Billing Support Representative
166,Avery,Device Compatibility Expert
167,Casey,User Experience Troubleshooter
168,Skyler,Subscription Support Agent
169,Alex,Device Compatibility Expert
170,Avery,Streaming Quality Analyst
171,Avery,Streaming Quality Analyst
172,Casey,Network Support Engineer
173,Avery,Language Localization Support
174,Avery,Language Localization Support
175,Morgan,Streaming Quality Analyst
176,Quinn,Technical Support Specialist
177,Riley,Technical Support Specialist
178,Casey,Billing Support Representative
179,Harper,Billing Support Representative
180,Cameron,Technical Support Specialist
181,Riley,User Experience Troubleshooter
182,Jordan,Content Delivery Technician
183,Jamie,Device Compatibility Expert
184,Casey,Technical Support Specialist
185,Harper,Technical Support Specialist
186,Parker,Content Delivery Technician
187,Reese,Device Compatibility Expert
188,Taylor,Network Support Engineer
189,Casey,Content Delivery Technician
190,Reese,Billing Support Representative
191,Taylor,Subscription Support Agent
192,Taylor,Device Compatibility Expert
193,Taylor,Device Compatibility Expert
194,Parker,Network Support Engineer
195,Harper,Network Support Engineer
196,Alex,Streaming Quality Analyst
197,Parker,User Experience Troubleshooter
198,Taylor,Content Delivery Technician
199,Cameron,Streaming Quality Analyst
200,Taylor,Technical Support Specialist
201,Drew,Streaming Quality Analyst
202,Morgan,Language Localization Support
203,Parker,Language Localization Support
204,Reese,Technical Support Specialist
205,Taylor,Content Delivery Technician
206,Taylor,Device Compatibility Expert
207,Parker,Device Compatibility Expert
208,Jamie,Network Support Engineer
209,Taylor,Language Localization Support
210,Cameron,Account Recovery Agent
211,Skyler,Network Support Engineer
212,Taylor,Account Recovery Agent
213,Cameron,Language Localization Support
214,Jordan,Streaming Quality Analyst
215,Cameron,User Experience Troubleshooter
216,Cameron,Network Support Engineer
217,Quinn,Content Delivery Technician
218,Jordan,Account Recovery Agent
219,Drew,User Experience Troubleshooter
220,Skyler,Device Compatibility Expert
221,Parker,User Experience Troubleshooter
222,Avery,Language Localization Support
223,Jamie,Subscription Support Agent
224,Casey,Language Localization Support
225,Avery,Content Delivery Technician
226,Avery,Language Localization Support
227,Reese,Content Delivery Technician
228,Drew,Billing Support Representative
229,Riley,Billing Support Representative
230,Reese,Language Localization Support
231,Jamie,Account Recovery Agent
232,Avery,Device Compatibility Expert
233,Reese,Billing Support Representative
234,Morgan,Network Support Engineer
235,Jamie,Network Support Engineer
236,Casey,Streaming Quality Analyst
237,Reese,Content Delivery Technician
238,Jamie,Billing Support Representative
239,Casey,Account Recovery Agent
240,Alex,Account Recovery Agent
241,Alex,Content Delivery Technician
242,Casey,Language Localization Support
243,Reese,Technical Support Specialist
244,Taylor,Billing Support Representative
245,Alex,Billing Support Representative
246,Parker,User Experience Troubleshooter
247,Alex,Technical Support Specialist
248,Harper,Network Support Engineer
249,Cameron,Technical Support Specialist
250,Alex,Technical Support Specialist
251,Cameron,Device Compatibility Expert
252,Quinn,Technical Support Specialist
253,Skyler,Device Compatibility Expert
254,Casey,Device Compatibility Expert
255,Alex,Billing Support Representative
256,Alex,Device Compatibility Expert
257,Alex,Account Recovery Agent
258,Skyler,Device Compatibility Expert
259,Casey,Language Localization Support
260,Drew,Subscription Support Agent
261,Jamie,Subscription Support Agent
262,Riley,User Experience Troubleshooter
263,Skyler,Language Localization Support
264,Jamie,Network Support Engineer
265,Quinn,Account Recovery Agent
266,Skyler,Device Compatibility Expert
267,Riley,Language Localization Support
268,Riley,Account Recovery Agent
269,Riley,Billing Support Representative
270,Drew,Network Support Engineer
271,Parker,Billing Support Representative
272,Harper,Technical Support Specialist
273,Skyler,User Experience Troubleshooter
274,Harper,Device Compatibility Expert
275,Jamie,Technical Support Specialist
276,Riley,Technical Support Specialist
277,Reese,User Experience Troubleshooter
278,Quinn,Device Compatibility Expert
279,Skyler,Technical Support Specialist
280,Riley,Device Compatibility Expert
281,Avery,Device Compatibility Expert
282,Quinn,Language Localization Support
283,Skyler,Device Compatibility Expert
284,Quinn,Network Support Engineer
285,Jamie,User Experience Troubleshooter
286,Jordan,Account Recovery Agent
287,Jordan,Language Localization Support
288,Jordan,Account Recovery Agent
289,Casey,Account Recovery Agent
290,Cameron,Language Localization Support
291,Cameron,Account Recovery Agent
292,Casey,Content Delivery Technician
293,Drew,Technical Support Specialist
294,Casey,Device Compatibility Expert
295,Taylor,Language Localization Support
296,Reese,User Experience Troubleshooter
297,Drew,User Experience Troubleshooter
298,Riley,Device Compatibility Expert
